"record_id","teacher_key","teacher_display_name","publisher_account","publisher_uid","publisher_identity_basis","identity_evidence_url","platform","source_url","video_id","part_no","cid","title","publish_date","duration_seconds","duration","grade_scope","knowledge_points","course_sequence","course_completeness","board_observability","force_diagram_observability","language_prompt_observability","access_status","copyright_notice","rights_tier","source_confidence","content_fit","visual_fit","recommend_observation","selection_reason","exclusion_reason","verified_at","metadata_evidence","notes"
"phy-force-liyongle-001","li_yongle","李永乐","李永乐老师官方","9458053","B站发布者名明确标注为官方；北京文明网公开页可独立核验李永乐的人大附中物理教师身份","https://www.bjwmb.gov.cn/bjby/pxbd/2021/09/02/860706.html","bilibili","https://www.bilibili.com/video/BV1ZJ4m1M7hT/","BV1ZJ4m1M7hT","1","1595893565","高中物理必修（一）3.9 正交分解法处理平衡问题","2024-06-25 18:11:44 +0800","1093","00:18:13","高中；必修一","共点力平衡；正交分解；多力合成","23/36","官方高中物理必修一36讲中的连续单讲","待首轮人工播放确认；当前未逐帧检查","知识点高度要求受力图或分量图；具体清晰度待人工确认","公开音轨可观察；启发式提问密度待人工编码","2026-08-09无需登录可打开公开视频页；公开API返回有效元数据","未经作者授权，禁止转载","yellow","high","high","unknown_pending_manual_watch","yes","与坤哥正交分解和平衡单元形成同主题对照；短时长适合先建立标注规范","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1ZJ4m1M7hT","公开观看仅用于人工观察；不得据此下载、缓存、训练或再发布"
"phy-force-liyongle-002","li_yongle","李永乐","李永乐老师官方","9458053","B站发布者名明确标注为官方；北京文明网公开页可独立核验李永乐的人大附中物理教师身份","https://www.bjwmb.gov.cn/bjby/pxbd/2021/09/02/860706.html","bilibili","https://www.bilibili.com/video/BV11S421R7Ct/","BV11S421R7Ct","1","1618170316","高中物理必修（一）3.13 整体法与隔离法","2024-07-17 16:33:50 +0800","795","00:13:15","高中；必修一","多物体受力分析；整体法；隔离法；平衡","27/36","官方高中物理必修一36讲中的连续单讲","待首轮人工播放确认；当前未逐帧检查","标题明确涉及整体与隔离受力；受力图呈现质量待人工确认","公开音轨可观察；对象选择和拆解提示语待人工编码","2026-08-09无需登录可打开公开视频页；公开API返回有效元数据","未经作者授权，禁止转载","yellow","high","high","unknown_pending_manual_watch","yes","直接观察教师如何选择研究对象并在整体与隔离之间切换","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV11S421R7Ct","与4.7同名讲次相比更偏平衡；先纳入本条，避免首轮重复"
"phy-force-liyongle-003","li_yongle","李永乐","李永乐老师官方","9458053","B站发布者名明确标注为官方；北京文明网公开页可独立核验李永乐的人大附中物理教师身份","https://www.bjwmb.gov.cn/bjby/pxbd/2021/09/02/860706.html","bilibili","https://www.bilibili.com/video/BV1G142187YX/","BV1G142187YX","1","1622454072","高中物理必修（一）4.2 牛顿第二定律","2024-07-21 17:22:34 +0800","988","00:16:28","高中；必修一","牛顿第二定律；合外力；加速度；建模","29/36","官方高中物理必修一36讲中的连续单讲","待首轮人工播放确认；当前未逐帧检查","牛二建模通常依赖受力图；本条具体画图过程待人工确认","公开音轨可观察；从现象到F=ma的引导方式待人工编码","2026-08-09无需登录可打开公开视频页；公开API返回有效元数据","未经作者授权，禁止转载","yellow","high","high","unknown_pending_manual_watch","yes","作为牛二概念讲，与坤哥牛二复习单元形成宽口径对照","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1G142187YX","精确发布日期与时长来自公开视频元数据"
"phy-force-liyongle-004","li_yongle","李永乐","李永乐老师官方","9458053","B站发布者名明确标注为官方；北京文明网公开页可独立核验李永乐的人大附中物理教师身份","https://www.bjwmb.gov.cn/bjby/pxbd/2021/09/02/860706.html","bilibili","https://www.bilibili.com/video/BV1Qf421q7Bb/","BV1Qf421q7Bb","1","1626950101","高中物理必修（一）4.3 牛顿第二定律习题课","2024-07-25 17:37:07 +0800","998","00:16:38","高中；必修一","牛顿第二定律；题目表征；受力到方程；例题讲解","30/36","紧随4.2概念讲的官方习题课","待首轮人工播放确认；当前未逐帧检查","习题课高度可能包含受力图；具体规范性待人工确认","公开音轨可观察；题意澄清、追问和纠错话术待人工编码","2026-08-09无需登录可打开公开视频页；公开API返回有效元数据","未经作者授权，禁止转载","yellow","high","high","unknown_pending_manual_watch","yes","概念讲后紧接习题课，可分离知识讲授与解题策略","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1Qf421q7Bb","与上一条连续观看可检验教学策略跨讲次一致性"
"phy-force-liyongle-005","li_yongle","李永乐","李永乐老师官方","9458053","B站发布者名明确标注为官方；北京文明网公开页可独立核验李永乐的人大附中物理教师身份","https://www.bjwmb.gov.cn/bjby/pxbd/2021/09/02/860706.html","bilibili","https://www.bilibili.com/video/BV1y1421x7Q1/","BV1y1421x7Q1","1","25603344950","高中物理必修（一）4.7 整体法与隔离法","2024-08-27 18:26:56 +0800","979","00:16:19","高中；必修一","牛顿第二定律应用；连接体；整体法；隔离法","34/36","官方高中物理必修一36讲中的动力学应用讲次","待首轮人工播放确认；当前未逐帧检查","标题明确涉及多对象受力；图示质量待人工确认","公开音轨可观察；整体与隔离切换依据待人工编码","2026-08-09无需登录可打开公开视频页；公开API返回有效元数据","未经作者授权，禁止转载","yellow","high","high","unknown_pending_manual_watch","no","适合作为第二轮检验同一方法从平衡迁移到动力学的样本","首轮已选3.13，先避免同教师同方法重复占用时长","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1y1421x7Q1","保留在候选池，不计入首轮3至6小时组合"
"phy-force-kunge-001","kunge_bilibili","坤哥（仅确认账号名；未证实为赵玉峰）","坤哥物理","11265345","视频由B站账号坤哥物理自行发布；公开证据不足以把该账号实名绑定为赵玉峰，且检索中赵玉峰大物理以独立账号出现","https://space.bilibili.com/11265345","bilibili","https://www.bilibili.com/video/BV1fChAzBE2r/?p=5","BV1fChAzBE2r#p5","5","31558336911","05：力的合成、求合力的常用结论","2025-07-30 16:48:13 +0800","6037","01:40:37","高中；必修一；高一新课与高三复习","力的合成；合力；共点力前置知识","5/33","官方公开相互作用系统免费课中的连续分P；父视频共33P","待首轮人工播放确认；当前未逐帧检查","知识点预期含矢量图；具体板书和画图过程待人工确认","公开音轨可观察；结论推导与例题提示语待人工编码","2026-08-09无需登录可打开对应分P；公开API返回有效分P元数据","未经作者授权，禁止转载","yellow","medium_high","medium_high","unknown_pending_manual_watch","no","为正交分解和平衡提供合力基础，课程完整度高","首轮优先直接比较平衡与牛二，本分P作为补充前置","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1fChAzBE2r","发布日期为父视频发布日期；分P独立发布日期不可见"
"phy-force-kunge-002","kunge_bilibili","坤哥（仅确认账号名；未证实为赵玉峰）","坤哥物理","11265345","视频由B站账号坤哥物理自行发布；公开证据不足以把该账号实名绑定为赵玉峰，且检索中赵玉峰大物理以独立账号出现","https://space.bilibili.com/11265345","bilibili","https://www.bilibili.com/video/BV1fChAzBE2r/?p=6","BV1fChAzBE2r#p6","6","31622696763","06：力的分解、实例分析、分解的多样性","2025-07-30 16:48:13 +0800","5834","01:37:14","高中；必修一；高一新课与高三复习","力的分解；矢量分解；实例分析；正交分解前置","6/33","官方公开相互作用系统免费课中的连续分P；父视频共33P","待首轮人工播放确认；当前未逐帧检查","标题明确要求绘制分解图；图示清晰度待人工确认","公开音轨可观察；多种分解方案如何启发待人工编码","2026-08-09无需登录可打开对应分P；公开API返回有效分P元数据","未经作者授权，禁止转载","yellow","medium_high","high","unknown_pending_manual_watch","no","可观察从物理情境到矢量分解图的讲解路径","首轮时长受限，优先下一讲正交分解和平衡","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1fChAzBE2r","发布日期为父视频发布日期；分P独立发布日期不可见"
"phy-force-kunge-003","kunge_bilibili","坤哥（仅确认账号名；未证实为赵玉峰）","坤哥物理","11265345","视频由B站账号坤哥物理自行发布；公开证据不足以把该账号实名绑定为赵玉峰，且检索中赵玉峰大物理以独立账号出现","https://space.bilibili.com/11265345","bilibili","https://www.bilibili.com/video/BV1fChAzBE2r/?p=7","BV1fChAzBE2r#p7","7","31640914749","07：正交分解法、多个力的平衡问题","2025-07-30 16:48:13 +0800","6136","01:42:16","高中；必修一；高一新课与高三复习","共点力平衡；正交分解；多个力；方程建立","7/33","官方公开相互作用系统免费课中的连续分P；父视频共33P","待首轮人工播放确认；当前未逐帧检查","标题明确涉及多个力与正交分解，受力图和坐标轴预期强；待人工确认","公开音轨可观察；坐标轴选择和列式提示语待人工编码","2026-08-09无需登录可打开对应分P；公开API返回有效分P元数据","未经作者授权，禁止转载","yellow","medium_high","high","unknown_pending_manual_watch","yes","与李永乐3.9形成最直接的同知识点跨教师比较，且时长足以观察完整讲解流程","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1fChAzBE2r","发布日期为父视频发布日期；分P独立发布日期不可见"
"phy-force-kunge-004","kunge_bilibili","坤哥（仅确认账号名；未证实为赵玉峰）","坤哥物理","11265345","视频由B站账号坤哥物理自行发布；公开证据不足以把该账号实名绑定为赵玉峰，且检索中赵玉峰大物理以独立账号出现","https://space.bilibili.com/11265345","bilibili","https://www.bilibili.com/video/BV1fChAzBE2r/?p=8","BV1fChAzBE2r#p8","8","31711166794","08：整体法和隔离法（平衡问题）","2025-07-30 16:48:13 +0800","7720","02:08:40","高中；必修一；高一新课与高三复习","多物体平衡；整体法；隔离法；研究对象选择","8/33","官方公开相互作用系统免费课中的连续分P；父视频共33P","待首轮人工播放确认；当前未逐帧检查","标题明确涉及多对象受力；受力图切换质量待人工确认","公开音轨可观察；研究对象选择与切换理由待人工编码","2026-08-09无需登录可打开对应分P；公开API返回有效分P元数据","未经作者授权，禁止转载","yellow","medium_high","high","unknown_pending_manual_watch","no","与李永乐3.13构成同方法对照，适合第二轮","与已选正交分解单元同属平衡且超过2小时，首轮先控制总时长","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1fChAzBE2r","保留在候选池，不计入首轮3至6小时组合"
"phy-force-kunge-005","kunge_bilibili","坤哥（仅确认账号名；未证实为赵玉峰）","坤哥物理","11265345","视频由B站账号坤哥物理自行发布；公开证据不足以把该账号实名绑定为赵玉峰，且检索中赵玉峰大物理以独立账号出现","https://space.bilibili.com/11265345","bilibili","https://www.bilibili.com/video/BV1u1u3z9EcF/?p=8","BV1u1u3z9EcF#p8","8","31222270356","牛顿定律1-牛顿第二定律的实验与基本题型","2025-07-12 00:01:24 +0800","8791","02:26:31","高中；高三一轮复习","牛顿第二定律；实验；基本题型；受力到运动","8/28","官方公开2026高三一轮复习合集中的连续分P；核验时父视频共28P","待首轮人工播放确认；当前未逐帧检查","牛二基本题型通常依赖受力图；具体画图质量待人工确认","公开音轨可观察；实验到定律、模型到方程的引导策略待人工编码","2026-08-09无需登录可打开对应分P；公开API返回有效分P元数据","未经作者授权，禁止转载","yellow","medium_high","high","unknown_pending_manual_watch","yes","覆盖牛二实验与基本题型，可与李永乐4.2和4.3做概念加习题的宽口径对照","","2026-08-09","https://api.bilibili.com/x/web-interface/view?bvid=BV1u1u3z9EcF","发布日期为父视频发布日期；分P独立发布日期不可见"
